890,47,641,391,74',14
891,413,498,NULL,50',19
892,413,509,511,71',19
893,413,513,498,37',19
894,413,509,513,43',19
895,413,509,507,81',19
896,413,538,539,86',20
897,413,528,539,68',20
898,197,339,NULL,73',12
899,197,304,NULL,74',11
900,197,326,319,20',12
901,430,595,NULL,50',22
902,430,296,304,84',11
903,23,62,58,64',2
904,23,520,NULL,79',20
905,352,275,NULL,81',10
906,352,272,NULL,11',10
908,272,508,510,89',19
909,272,501,496,03',19
910,405,52,47,68',2
911,358,391,382,73',14
912,358,386,382,45',14
913,358,382,388,78',14
914,17,636,366,17',13
915,17,636,367,15',13
916,429,269,266,54',10
918,130,275,274,44',10
919,130,339,335,90',12
1093,58,342,238,76',9
1094,58,342,NULL,53',9
1095,58,436,432,85',16
1096,58,436,425,90',16
1097,19,156,152,50',6
1098,19,432,NULL,16',16
1099,423,47,41,89',2
1101,423,304,291,34',11
1102,423,60,NULL,57',2
1103,367,152,165,44',6
1105,160,274,262,38',10
1106,160,275,276,89',10
1107,160,271,272,45',10
1108,160,274,NULL,09',10
1109,189,153,156,76',6
1110,189,167,152,43',6
1111,351,237,NULL,11',9
1112,30,110,614,64',4
1114,30,599,97,49',4
1115,30,111,100,57',4
1116,30,654,NULL,81',19
1117,30,514,497,27',19
1118,63,137,87,49',5
1119,63,509,506,62',19
1120,63,143,138,42',5
1121,318,410,404,70',15
1122,70,87,412,55',5
1123,422,607,603,32',22
1124,426,29,19,67',1
1125,426,407,NULL,90',15
1126,326,538,521,39',20
1127,326,476,NULL,37',18
1128,326,524,528,05',20
1129,326,473,NULL,83',18
1130,326,525,533,02',20
1131,76,86,67,71',3
1132,91,432,NULL,53',16
1133,91,204,205,75',8
1134,91,205,NULL,88',8
1135,91,423,422,56',16
1136,91,428,422,82',16
1137,91,426,428,32',16
1138,447,275,276,30',10
1139,447,436,428,36',16
1140,447,439,420,20',16
1141,447,275,269,59',10
1142,447,436,428,35',16
1143,57,368,353,82',13
1144,57,204,206,26',8
1145,57,219,212,59',8
1146,57,352,355,54',13
1147,107,62,47,71',2
1149,107,636,NULL,62',13
1150,107,60,59,74',2
1151,107,60,46,22',2
1152,86,138,NULL,61',5
1153,201,300,291,37',11
1154,201,216,NULL,57',8
1155,201,209,NULL,61',8
1156,201,219,214,88',8
1157,202,239,NULL,32',9
1158,202,634,NULL,79',9
1159,202,504,497,37',19
1160,202,246,242,46',9
1161,276,201,212,47',8
1162,276,222,221,20',8
1163,276,337,NULL,85',12
1165,146,143,NULL,77',5
1166,146,246,239,70',9
1167,146,234,242,90',9
1168,399,242,247,50',9
1169,399,87,70,72',3
1172,399,246,NULL,89',9
1173,399,248,242,67',9
1174,399,83,78,85',3
1175,183,520,524,53',20
1176,183,411,404,43',15
1177,183,533,520,21',20
1178,92,367,369,86',13
1179,92,462,456,57',17
1180,92,465,451,73',17
1181,92,352,355,37',13
1183,92,369,636,58',13
1184,210,29,NULL,81',1
1186,168,119,NULL,45',4
1187,36,197,194,88',7
1188,15,276,60,65',10
1189,15,488,NULL,35',18
1190,15,266,270,43',10
1192,392,80,87,07',3
1193,392,79,87,67',3
1194,392,86,79,76',3
1195,117,455,456,59',17
1196,117,465,456,67',17
1197,117,465,447,79',17
1198,117,446,456,52',17
1199,117,576,569,28',21
1200,56,258,267,60',10
1201,56,655,533,51',20
1202,108,513,516,06',19
1203,108,499,509,32',19
1204,452,142,143,40',5
1205,452,248,244,06',9
1206,452,143,138,73',5
1207,452,248,NULL,90',9
1208,452,138,143,05',5
1209,452,248,237,89',9
1210,372,490,469,87',18
1211,372,488,476,75',18
1212,372,138,142,17',5
1213,372,484,476,69',18
1214,120,425,432,08',16
1215,374,100,107,53',4
1216,374,228,230,43',9
1217,180,209,212,72',8
1219,158,111,119,40',4
1221,158,614,NULL,58',4
1222,158,150,159,70',6
1224,505,533,536,12',20
1225,505,533,520,52',20
1226,505,538,520,62',20
1227,505,524,530,57',20
1228,505,530,538,79',20
1229,893,335,339,85',12
1230,893,324,339,47',12
1231,908,295,NULL,71',9
1232,908,248,488,73',9
1233,908,516,510,50',19
1234,908,509,497,20',19
1235,619,26,12,27',1
1237,645,367,472,32',18
1238,624,829,550,44',24
1240,624,204,211,17',8
1242,514,214,211,89',8
